id,name,brand,category,price,image_url,description,key_actives,target_issues,suitable_skin_types,suitable_barrier,vehicle_type,is_fragrance_free,is_alcohol_free,usage_time,clinical_notes
serum-laroche-effaclar,Effaclar Ultra Concentrated Serum,La Roche-Posay,Serum,1350 บาท,,เซรั่มสลายสิวอุดตัน ลดรอยดำจากสิว ผสาน 3 พลังโมเลกุลทางการแพทย์ LHA Salicylic Acid และ Glycolic Acid,"{""Salicylic Acid (BHA)"",""AHA (Glycolic Acid)"",LHA,Niacinamide}","{""Inflammatory acne"",Blackheads,Whiteheads,Pores,""Pigmentation & Dark spots""}","{oily,combination}","{healthy,mildly_impaired}",Liquid,TRUE,TRUE,PM,ผลัดเซลล์ผิวสูตรเข้มข้น ไม่ควรใช้ขณะเกราะป้องกันผิวพัง
serum-eucerin-spotless-brightening,Spotless Brightening Booster Serum,Eucerin,Serum,1890 บาท,,เซรั่มลดเลือนฝ้าแดดหนาลึกและจุดด่างดำด้วย Thiamidol เอกสิทธิ์เฉพาะ พร้อม Hyaluronic Acid เข้มข้น,"{Thiamidol,""Hyaluronic Acid""}","{""Pigmentation & Dark spots"",Wrinkles}","{dry,combination,oily}","{healthy,mildly_impaired,compromised}",Gel,FALSE,TRUE,Both,Thiamidol ยับยั้งเอนไซม์ Tyrosinase ได้มีประสิทธิภาพสูง ไม่ทำให้ผิวบาง
serum-the-ordinary-niacinamide,Niacinamide 10% + Zinc 1%,The Ordinary,Serum,380 บาท,,เซรั่มสูตรน้ำลดความมันส่วนเกิน กระชับรูขุมขน และลดรอยแดงรอยดำจากสิวอย่างอ่อนโยน,"{""Niacinamide (Vitamin B3)"",""Zinc PCA""}","{Pores,Redness,""Inflammatory acne""}","{oily,combination}","{healthy,mildly_impaired}",Liquid,TRUE,TRUE,Both,Zinc PCA ลดการผลิตน้ำมันและปลอบประโลมผิว
serum-paulas-choice-retinol,Clinical 1% Retinol Treatment,Paula's Choice,Serum,2200 บาท,,ทรีตเมนต์เรตินอลเข้มข้น ผสานเปปไทด์ ช่วยฟื้นฟูริ้วรอยลึก รูขุมขน และกระตุ้นคอลลาเจน,"{""Topical Retinoids (Retinol)"",Peptides,Ceramides}","{Wrinkles,Pores,Blackheads}","{dry,combination}",{healthy},Lotion,TRUE,TRUE,PM,เริ่มใช้สัปดาห์ละ 1-2 ครั้ง ห้ามใช้เมื่อเกราะป้องกันผิวอ่อนแอ
serum-skin1004-centella-ampoule,Madagascar Centella Ampoule,SKIN1004,Serum,590 บาท,,แอมพูลสารสกัดใบบัวบกบริสุทธิ์ 100% ปลอบประโลมผิว ลดรอยแดง ลดการระคายเคืองและสิวอักเสบ,"{""Centella Asiatica (TECA / Madecassoside)"",Panthenol}","{Redness,""Inflammatory acne""}","{dry,combination,oily}","{healthy,mildly_impaired,compromised}",Liquid,TRUE,TRUE,Both,ปลอดภัยต่อผิวบอบบางแพ้ง่ายมากและช่วยเร่งสมานแผลสิว
moist-cerave-pm-lotion,PM Facial Moisturizing Lotion,CeraVe,Moisturizer,650 บาท,,โลชั่นบำรุงผิวหน้าเนื้อบางเบา พร้อมเซราไมด์จำเป็น 3 ชนิด ไนอะซินาไมด์ และไฮยาลูโรนิค แอซิด,"{""Ceramides (3:1:1 Matrix)"",Niacinamide,""Hyaluronic Acid""}","{Redness,Pores,Wrinkles}","{combination,oily}","{healthy,mildly_impaired,compromised}",Lotion,TRUE,TRUE,Both,ฟื้นฟูเกราะป้องกันผิวด้วยอัตราส่วนเซราไมด์มาตรฐานทางการแพทย์
moist-laroche-toleriane-fluide,Toleriane Dermallergo Fluide,La Roche-Posay,Moisturizer,1150 บาท,,มอยส์เจอร์ไรเซอร์ฟลูอิดสำหรับผิวบอบบางระคายเคืองง่าย ลดอาการแพ้แสบแดง,"{Neurosensine,Sphingobioma,Squalane,Panthenol}","{Redness,""Inflammatory acne""}","{combination,oily}","{healthy,mildly_impaired,compromised}",Fluid,TRUE,TRUE,Both,ออกแบบเพื่อผิวแพ้ง่ายขั้นวิกฤต ปราศจากสารกันเสียและน้ำหอม 100%
moist-curel-intensive-moisture,Intensive Moisture Facial Cream,Curél,Moisturizer,990 บาท,,เวชสำอางบำรุงผิวหน้าล้ำลึกสำหรับผิวแห้งแพ้ง่ายด้วย Pseudo-Ceramide,"{Ceramides,Allantoin,Squalane}","{Redness,Wrinkles}","{dry,combination}","{healthy,mildly_impaired,compromised}",Cream,TRUE,TRUE,Both,ฟื้นบำรุงเซราไมด์ในชั้นผิว เหมาะสำหรับผู้มีภาวะสูญเสียน้ำออกจากผิวสูง
moist-mizumi-cica-soothing-gel,Cica Soothing Gel,MizuMi,Moisturizer,345 บาท,,เจลบำรุงผิวหน้าสูตร Cica และใบบัวบก เนื้อเจลใสบางเบา ซึมไว ไม่เหนอะหนะ ไม่อุดตันผิว,"{""Centella Asiatica"",""Aloe Vera"",Ceramides}","{""Inflammatory acne"",Redness,Pores}",{oily},"{healthy,mildly_impaired}",Gel,TRUE,TRUE,Both,Aqueous Gel สำหรับผิวมันเป็นสิวง่าย ไม่อุดตันต่อมไขมัน
clean-cerave-hydrating-cleanser,Hydrating Cleanser,CeraVe,Cleanser,480 บาท,,คลีนเซอร์เนื้อโลชั่นอ่อนโยน ล้างสิ่งสกปรกโดยไม่ทำลายเกราะปกป้องผิว มีเซราไมด์ 3 ชนิด,"{""Ceramides (3:1:1 Matrix)"",""Hyaluronic Acid""}","{Redness,Wrinkles}","{dry,combination}","{healthy,mildly_impaired,compromised}",Lotion,TRUE,TRUE,Both,pH 5.5 อ่อนโยนสูง ไม่ทำลาย Lipid Bilayer
